Dungeon	Boss	Type	Slot	BaseIlvl	Name	Main Stat	Secondary Stat 1	Secondary Stat 1 Value	Secondary stat 2	Secondary Stat 2 Value	Active/Passive	SourceInst	Role
Halls of Atonement	Lord Chamberlain	Staff	Two-Hand	157	Nathrian Ferula	Intellect	Haste	60	Critical Strike	42		Dungeon	Dps/Tank/Heal
Halls of Atonement	Lord Chamberlain	Mail	Head	157	Nathrian Usurper's Mask	Agility/Intellect	Versatility	63	Haste	39		Dungeon	Dps/Tank/Heal
Halls of Atonement	Lord Chamberlain	Cloth	Feet	157	Slippers of Leavened Station	Intellect	Haste	42	Critical Strike	33		Dungeon	Dps/Tank/Heal
De Other Side	Hakkar the Soulflayer	Trinket	Trinket	157	Blood-Spattered Scale	Agility/Strength	Use				Use: Inflict 2153 Shadow damage to all nearby enemies and form a Blood Barrier for 10 sec. The Blood Barrier absorbs 14559 damage and an additional 2080 damage for each enemy struck. (2 Min Cooldown)	Dungeon	Dps/Tank
De Other Side	Hakkar the Soulflayer	Sword	One-Hand	157	Bloodspiller	Agility	Critical Strike	28	Versatility	22		Dungeon	Dps/Tank/Heal
De Other Side	Hakkar the Soulflayer	Sword	Two-Hand	157	Zin'khas, Blade of the Fallen God	Strength	Critical Strike	55	Mastery	45		Dungeon	Dps/Tank/Heal
De Other Side	Hakkar the Soulflayer	Mail	Hands	157	Hakkari Revenant's Grips	Agility/Intellect	Haste	44	Critical Strike	31		Dungeon	Dps/Tank/Heal
De Other Side	Hakkar the Soulflayer	Cloth	Feet	157	Windscale Moccasins	Intellect	Versatility	47	Critical Strike	30		Dungeon	Dps/Tank/Heal
De Other Side	Hakkar the Soulflayer	Plate	Waist	157	Girdle of the Soulflayer	Strength/Intellect	Haste	44	Versatility	33		Dungeon	Dps/Tank/Heal
De Other Side	Hakkar the Soulflayer	Leather	Legs	157	Soulfeather Breeches	Agility/Intellect	Haste	61	Mastery	41		Dungeon	Dps/Tank/Heal
De Other Side	The Manastorms	Staff	Two-Hand	157	Whizblast Walking Stick	Intellect	Mastery	55	Versatility	45		Dungeon	Dps/Tank/Heal
De Other Side	The Manastorms	Trinket	Trinket	157	Overwhelming Power Crystal	Strength	Use				Use: Deploy a power crystal which beams arcane energy into you, inflicting 405 Arcane damage over 15 sec and granting 338 Critical Strike. (1 Min, 30 Sec Cooldown)	Dungeon	Dps
De Other Side	The Manastorms	Leather	Hands	157	Rocket Chicken Handlers	Agility/Intellect	Mastery	45	Critical Strike	30		Dungeon	Dps/Tank/Heal
De Other Side	The Manastorms	Cloth	Chest	157	Manastorm's Magnificent Threads	Intellect	Versatility	63	Critical Strike	39		Dungeon	Dps/Tank/Heal
De Other Side	The Manastorms	Plate	Feet	157	Dynamo Doomstompers	Strength/Intellect	Critical Strike	44	Haste	33		Dungeon	Dps/Tank/Heal
De Other Side	The Manastorms	Mail	Legs	157	Techno-Coil Legguards	Agility/Intellect	Mastery	60	Haste	42		Dungeon	Dps/Tank/Heal
De Other Side	The Manastorms	Mace	One-Hand	157	Supercollider	Strength	Critical Strike	28	Mastery	22		Dungeon	Dps/Tank/Heal
De Other Side	Dealer Xy'exa	Leather	Shoulders	157	Far Traveler's Shoulderpads	Agility/Intellect	Critical Strike	44	Versatility	31		Dungeon	Dps/Tank/Heal
De Other Side	Dealer Xy'exa	Cloth	Waist	157	Sash of Exquisite Acquisitions	Intellect	Mastery	45	Versatility	30		Dungeon	Dps/Tank/Heal
De Other Side	Dealer Xy'exa	Mail	Feet	157	Spatial Rift Striders	Agility/Intellect	Haste	44	Critical Strike	33		Dungeon	Dps/Tank/Heal
De Other Side	Dealer Xy'exa	Crossbow	Ranged	157	Xy Cartel Crossbow	Agility	Mastery	63	Critical Strike	39		Dungeon	Dps/Tank/Heal
De Other Side	Dealer Xy'exa	Cloak	Cloak	157	Dealer Xy'exa's Cape	Agility/Strength/Intellect	Mastery	34	Versatility	22		Dungeon	Dps/Tank/Heal
De Other Side	Dealer Xy'exa	Staff	Two-Hand	157	Collector's Pulse Staff	Agility	Haste	55	Versatility	45		Dungeon	Dps/Tank/Heal
De Other Side	Dealer Xy'exa	Plate	Chest	157	Breastplate of Fatal Contrivances	Strength/Intellect	Critical Strike	56	Haste	45		Dungeon	Dps/Tank/Heal
De Other Side	Dealer Xy'exa	Trinket	Trinket	157	Inscrutable Quantum Device	Agility/Strength/Intellect	Use				Use: ??? (NYI)	Dungeon	Dps/Tank/Heal
De Other Side	Mueh'zala	Plate	Wrist	157	Reality-Shatter Vambraces	Strength/Intellect	Critical Strike	31	Versatility	26		Dungeon	Dps/Tank/Heal
De Other Side	Mueh'zala	Mail	Chest	157	Harness of Twisted Whims	Agility/Intellect	Haste	56	Critical Strike	45		Dungeon	Dps/Tank/Heal
De Other Side	Mueh'zala	Trinket	Trinket	157	Shadowgrasp Totem	Agility	Use				Use: Drop a Shadowgrasp Totem at your feet for 15 sec that harvests your target, inflicting 415 Shadow damage every second. Each time your target dies while affected by Shadowgrasp Totem, you are healed for 864 and this cooldown is reduced by 15 sec. (2 Min Cooldown)	Dungeon	Dps/Tank
De Other Side	Mueh'zala	Leather	Feet	157	Primeval Soul's Ankleguards	Agility/Intellect	Mastery	44	Critical Strike	33		Dungeon	Dps/Tank/Heal
De Other Side	Mueh'zala	Cloth	Legs	157	Mueh'zala's Hexthread Sarong	Intellect	Haste	60	Mastery	42		Dungeon	Dps/Tank/Heal
De Other Side	Mueh'zala	Ring	Finger	157	Death God's Signet	NA	Haste	78	Mastery	46		Dungeon	Dps/Tank/Heal
Theater of Pain	An Affront of Challengers	Leather	Chest	157	Vest of Concealed Secrets	Agility/Intellect	Critical Strike	60	Haste	42		Dungeon	Dps/Tank/Heal
